contestant,total_score,jury_score,televote_score,Sweden,Azerbaijan,Malta,Netherlands,Slovenia,Armenia,Luxembourg,San Marino,Ukraine,Norway,Austria,France,Italy,Portugal,Denmark,Croatia,Latvia,Ireland,Poland,Montenegro,Greece,Serbia,Czechia,United Kingdom,Spain,Finland,Australia,Germany,Belgium,Israel,Albania,Lithuania,Iceland,Georgia,Cyprus,Estonia,Switzerland
Italy,256,159,97,NA,10,4,NA,12,NA,NA,12,8,NA,NA,6,NA,12,8,12,NA,NA,8,NA,4,NA,3,NA,4,NA,NA,5,5,3,NA,10,2,12,3,4,12
Poland,156,17,139,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,2,1,NA,NA,NA,NA,NA,2,NA
Germany,151,77,74,NA,2,NA,NA,NA,NA,4,NA,12,NA,NA,NA,8,NA,NA,NA,2,NA,NA,NA,5,10,12,NA,3,1,NA,NA,1,10,NA,5,NA,2,NA,NA,NA
Greece,231,105,126,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,1,NA,4,NA,3,4,12,NA,6,NA,1,NA,3,12,6,NA,12,6,NA,NA,5,12,NA,NA
Armenia,72,42,30,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,NA,4,1,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,3,NA,NA,NA
Switzerland,214,214,0,10,1,2,10,8,7,8,10,7,3,NA,2,4,10,10,8,8,NA,12,7,6,7,NA,NA,12,6,1,7,8,NA,8,3,7,4,6,12,NA
Malta,91,83,8,1,NA,NA,NA,NA,5,NA,1,NA,NA,10,NA,5,NA,NA,NA,5,6,NA,5,NA,NA,2,7,5,7,8,8,NA,8,NA,NA,NA,NA,NA,NA,NA
Portugal,50,37,13,NA,6,NA,7,1,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,2
Denmark,47,45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,5,1,10,NA,NA,4,NA,NA,NA,NA,NA,NA,10,NA,NA,NA
Sweden,321,126,195,NA,NA,1,8,6,6,5,NA,NA,10,5,NA,NA,NA,7,3,NA,5,NA,NA,7,NA,NA,NA,NA,10,6,4,6,NA,4,1,12,NA,2,8,10
France,230,180,50,7,NA,8,2,3,12,12,5,NA,2,6,NA,NA,NA,NA,NA,6,8,3,6,12,12,8,2,8,8,NA,10,NA,NA,12,NA,4,NA,10,6,8
San Marino,27,9,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA
Albania,218,45,173,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,3,4,NA,NA,NA,NA,5,10,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
