variable,label,values
stfedu,State of education in country nowadays,0 = Extremely bad; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Extremely good
stfhlth,State of health services in country nowadays,0 = Extremely bad; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Extremely good
euftf,European Union: European unification go further or gone too far,0 = Unification already gone too far; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Unification go further
imsmetn,Allow many/few immigrants of same race/ethnic group as majority,1 = Allow many to come and live here; 2 = Allow some; 3 = Allow a few; 4 = Allow none
imdfetn,Allow many/few immigrants of different race/ethnic group from majority,1 = Allow many to come and live here; 2 = Allow some; 3 = Allow a few; 4 = Allow none
impcntr,Allow many/few immigrants from poorer countries outside Europe,1 = Allow many to come and live here; 2 = Allow some; 3 = Allow a few; 4 = Allow none
imbgeco,Immigration bad or good for country's economy,0 = Bad for the economy; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Good for the economy
imueclt,Country's cultural life undermined or enriched by immigrants,0 = Cultural life undermined; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Cultural life enriched
imwbcnt,Immigrants make country worse or better place to live,0 = Worse place to live; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Better place to live
happy,How happy are you,0 = Extremely unhappy; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Extremely happy
sclmeet,"How often socially meet with friends, relatives or colleagues",1 = Never; 2 = Less than once a month; 3 = Once a month; 4 = Several times a month; 5 = Once a week; 6 = Several times a week; 7 = Every day
inprdsc,How many people with whom you can discuss intimate and personal matters,0 = None; 1 = 1; 2 = 2; 3 = 3; 4 = 4-6; 5 = 7-9; 6 = 10 or more
sclact,Take part in social activities compared to others of same age,1 = Much less than most; 2 = Less than most; 3 = About the same; 4 = More than most; 5 = Much more than most
crmvct,Respondent or household member victim of burglary/assault last 5 years,1 = Yes; 2 = No
aesfdrk,Feeling of safety of walking alone in local area after dark,1 = Very safe; 2 = Safe; 3 = Unsafe; 4 = Very unsafe
health,Subjective general health,1 = Very good; 2 = Good; 3 = Fair; 4 = Bad; 5 = Very bad
hlthhmp,Hampered in daily activities by illness/disability/infirmity/mental problem,1 = Yes a lot; 2 = Yes to some extent; 3 = No
rlgblg,Belonging to particular religion or denomination,1 = Yes; 2 = No
rlgdgr,How religious are you,0 = Not at all religious; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Very religious
rlgatnd,How often attend religious services apart from special occasions,1 = Every day; 2 = More than once a week; 3 = Once a week; 4 = At least once a month; 5 = Only on special holy days; 6 = Less often; 7 = Never
dscrgrp,Member of a group discriminated against in this country,1 = Yes; 2 = No
ctzcntr,Citizen of country,1 = Yes; 2 = No
brncntr,Born in country,1 = Yes; 2 = No
hhmmb,Number of people living regularly as member of household,NA
gndr,Gender,1 = Male; 2 = Female
agea,"Age of respondent, calculated",NA
yrbrn,Year of birth,NA
maritalb,"Legal marital status, post coded",1 = Legally married; 2 = In a legally registered civil union; 3 = Legally separated; 4 = Legally divorced/Civil union dissolved; 5 = Widowed/Civil partner died; 6 = None of these (NEVER married or in legally registered civil union)
domicil,"Domicile, respondent's description",1 = A big city; 2 = Suburbs or outskirts of big city; 3 = Town or small city; 4 = Country village; 5 = Farm or home in countryside
eduyrs,Years of full-time education completed,NA
pdwrk,Doing last 7 days: paid work,0 = Not marked; 1 = Marked
uempla,"Doing last 7 days: unemployed, actively looking for job",0 = Not marked; 1 = Marked
uempli,"Doing last 7 days: unemployed, not actively looking for job",0 = Not marked; 1 = Marked
emplrel,Employment relation,1 = Employee; 2 = Self-employed; 3 = Working for own family business
wkhtot,Total hours normally worked per week in main job overtime included,NA
hinctnta,"Household's total net income, all sources",1 = J - 1st decile; 2 = R - 2nd decile; 3 = C - 3rd decile; 4 = M - 4th decile; 5 = F - 5th decile; 6 = S - 6th decile; 7 = K - 7th decile; 8 = P - 8th decile; 9 = D - 9th decile; 10 = H - 10th decile
hincfel,Feeling about household's income nowadays,1 = Living comfortably on present income; 2 = Coping on present income; 3 = Difficult on present income; 4 = Very difficult on present income
dweight,Design weight,NA
pweight,Population size weight (must be combined with dweight or pspwght),NA
