name,essround,edition,idno,cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inprdsc,sclact,crmvct,aesfdrk,health,hlthhmp,rlgblg,rlgdgr,rlgatnd,dscrgrp,ctzcntr,brncntr,hhmmb,gndr,agea,yrbrn,maritalb,domicil,eduyrs,pdwrk,uempla,uempli,emplrel,wkhtot,hinctnta,hincfel,dweight,pweight
ESS9e01_1,9,1.1,336,AT,60,1,NA,1,1,2,3,3,2,3,3,8,9,9,7,8,8,8,1,4,7,5,6,5,6,7,6,4,3,3,1,1,1,7,2,1,1,2,2,3,3,1,10,3,2,1,1,1,2,87,1931,4,3,8,0,0,0,1,NA,NA,1,0.510505952813825,0.302091437
ESS9e01_1,9,1.1,408,AT,60,1,NA,8,9,7,1,2,2,3,2,8,7,5,6,6,5,6,1,10,8,9,9,6,4,8,3,1,3,3,7,4,5,8,4,2,2,2,1,2,3,2,0,7,2,1,1,2,1,79,1939,1,4,12,0,0,0,1,NA,4,1,1.037346046521763,0.302091437
ESS9e01_1,9,1.1,414,AT,60,5,30,7,8,7,2,3,3,3,3,9,9,10,8,8,9,8,1,4,9,9,8,9,9,9,7,2,3,3,6,5,5,8,6,2,3,2,1,1,3,1,4,5,2,1,1,1,1,62,1956,4,4,12,0,0,0,1,39,2,1,0.47176004976227925,0.302091437
ESS9e01_1,9,1.1,418,AT,60,5,360,7,7,7,1,3,5,3,5,3,7,7,3,2,7,7,3,1,6,7,2,3,6,8,10,1,2,2,7,8,7,5,6,3,3,2,1,2,2,2,3,5,2,2,2,1,1,27,1991,6,1,21,0,0,0,1,25,2,2,0.573063916453965,0.302091437
ESS9e01_1,9,1.1,430,AT,10,2,NA,5,7,6,2,4,3,3,3,7,7,6,6,8,4,4,1,6,9,9,9,9,7,9,8,1,4,1,9,3,5,9,6,1,4,2,1,2,2,1,8,5,2,1,1,2,1,59,1959,1,4,11,0,0,0,1,168,1,2,0.9295771261780305,0.302091437
ESS9e01_1,9,1.1,456,AT,30,4,60,5,7,5,3,3,2,3,2,3,4,8,3,3,2,3,1,5,9,5,8,8,7,8,5,2,2,2,4,2,NA,10,4,4,3,2,2,1,3,1,4,6,2,1,1,2,2,60,1958,5,4,9,0,0,0,1,27,5,1,1.3128800593176797,0.302091437
ESS9e01_1,9,1.1,481,AT,30,5,120,10,10,10,2,1,2,1,2,3,9,10,4,4,6,8,1,3,10,6,7,10,10,3,5,2,2,2,2,3,2,10,6,5,3,2,2,1,3,1,2,7,2,1,1,4,1,49,1969,6,3,18,1,0,0,1,40,NA,2,0.30985905129386254,0.302091437
ESS9e01_1,9,1.1,491,AT,30,5,60,7,6,3,3,1,2,1,2,7,9,9,1,1,7,6,1,7,7,7,2,6,9,9,3,3,3,4,3,5,0,6,4,2,2,2,2,2,3,1,0,5,2,1,1,1,1,42,1976,6,1,17,1,0,0,1,35,2,2,0.5521099035226886,0.302091437
ESS9e01_1,9,1.1,504,AT,120,5,240,0,8,5,2,5,3,4,3,8,8,10,8,8,7,7,1,5,10,8,8,10,8,10,10,3,3,3,5,7,2,10,5,1,3,2,2,2,2,2,5,6,2,1,1,1,1,59,1959,6,1,12,0,0,0,1,39,3,1,0.5521099035226886,0.302091437
ESS9e01_1,9,1.1,546,AT,90,1,NA,3,5,4,2,3,2,3,2,6,7,8,5,5,NA,2,1,5,8,6,4,6,7,6,3,3,4,4,5,1,2,7,6,4,2,2,2,3,2,1,8,3,2,1,1,2,2,69,1949,1,3,8,0,0,0,1,25,NA,2,1.079137560561834,0.302091437
ESS9e01_1,9,1.1,567,AT,10,4,165,4,7,8,4,1,1,1,2,4,10,10,1,4,4,7,NA,5,9,9,10,9,8,10,3,4,4,4,1,2,1,10,5,5,3,2,1,1,3,1,3,5,2,1,1,2,1,30,1988,6,4,12,1,0,0,1,45,NA,2,1.0210119056276499,0.302091437
ESS9e01_1,9,1.1,569,AT,10,5,300,5,8,7,2,2,1,2,2,7,6,7,4,4,3,5,1,6,7,6,7,8,5,8,3,2,3,3,5,4,7,9,4,2,4,1,2,2,3,2,3,6,2,1,1,1,1,50,1968,6,1,9,1,0,0,2,30,5,2,0.6061252962493864,0.302091437
ESS9e01_1,9,1.1,624,AT,10,3,NA,6,7,6,3,3,2,2,1,8,6,9,6,3,NA,10,1,3,3,NA,8,7,9,9,6,4,4,3,NA,2,2,4,3,1,2,2,2,4,2,1,3,6,2,1,1,1,2,43,1975,6,4,13,0,0,0,1,30,7,3,0.46808595928115887,0.302091437
ESS9e01_1,9,1.1,641,AT,60,5,60,7,7,7,3,2,NA,3,4,5,5,5,5,5,NA,NA,1,5,8,NA,NA,7,7,8,NA,NA,NA,NA,NA,5,4,9,4,4,3,2,1,1,3,1,NA,5,2,1,1,2,2,30,1988,1,3,11,1,0,0,1,38,NA,2,1.1529204836603097,0.302091437
ESS9e01_1,9,1.1,659,AT,10,3,NA,3,6,5,3,3,3,2,3,4,5,5,3,2,2,2,1,3,6,5,5,6,5,4,3,2,3,3,5,4,4,6,6,4,4,2,2,3,2,2,3,7,2,1,2,1,2,70,1948,4,1,15,1,0,0,2,5,9,4,0.5476904622995952,0.302091437
ESS9e01_1,9,1.1,672,AT,60,3,NA,6,6,7,2,3,3,3,5,5,8,9,5,5,5,5,1,5,7,7,4,6,8,9,NA,3,3,4,3,3,2,7,4,4,3,2,2,3,2,1,6,5,2,1,1,2,1,70,1948,1,3,13,0,0,0,1,38,7,1,0.8539413707591449,0.302091437
ESS9e01_1,9,1.1,687,AT,180,5,300,3,6,2,2,2,1,2,1,7,7,8,1,2,0,0,1,5,3,3,2,5,5,6,0,3,3,3,0,5,0,4,7,4,5,2,2,2,3,1,6,7,NA,1,2,1,1,46,1972,4,1,15,0,1,0,1,60,6,3,0.5506459064301525,0.302091437
ESS9e01_1,9,1.1,708,AT,10,5,120,6,7,4,2,3,3,3,4,5,4,4,3,4,2,3,1,7,9,8,6,7,5,4,7,1,2,2,6,4,5,8,5,5,3,2,2,2,3,2,2,6,2,1,1,3,1,35,1983,1,1,17,1,0,0,1,46,10,1,1.8469420769731069,0.302091437
ESS9e01_1,9,1.1,729,AT,20,5,30,4,5,3,3,3,4,3,3,1,0,0,0,0,0,0,3,9,10,8,8,9,9,8,9,1,1,2,10,10,10,10,7,6,4,2,3,1,3,1,10,1,1,2,2,4,1,36,1982,1,1,15,1,0,0,1,40,7,1,1.1061352032414455,0.302091437
ESS9e01_1,9,1.1,734,AT,120,1,NA,8,7,5,3,3,2,2,2,8,10,10,7,7,7,7,1,8,9,9,9,8,9,9,7,2,3,3,4,6,5,9,4,2,3,2,3,2,3,1,9,4,2,1,1,2,1,67,1951,1,4,12,0,0,0,1,60,5,2,0.9276698910027005,0.302091437
ESS9e01_1,9,1.1,736,AT,0,5,150,6,6,4,4,1,1,1,1,NA,7,8,0,0,NA,7,1,5,10,10,9,9,10,10,10,3,3,3,10,9,10,9,4,5,5,2,1,2,3,1,7,7,2,1,1,2,2,23,1995,6,4,12,1,0,0,1,50,NA,2,1.0360992089979528,0.302091437
ESS9e01_1,9,1.1,827,AT,10,2,NA,6,4,6,2,1,2,2,1,4,6,8,4,4,2,NA,1,5,8,6,6,5,9,8,0,2,3,3,7,5,5,7,5,4,2,2,2,2,3,1,5,7,2,1,1,1,2,68,1950,4,4,9,0,0,0,1,60,1,3,0.4782675168386022,0.302091437
ESS9e01_1,9,1.1,840,AT,75,5,150,4,5,5,1,4,4,4,4,7,1,3,7,7,1,1,1,9,8,8,8,9,1,7,1,3,3,4,1,0,0,8,6,3,4,2,3,2,3,1,5,4,2,1,1,2,1,72,1946,1,4,12,0,0,0,1,44,5,1,0.8216317682585904,0.302091437
ESS9e01_1,9,1.1,846,AT,20,3,NA,6,7,7,2,2,2,2,2,6,7,8,5,4,5,6,1,5,8,6,7,8,7,7,1,3,3,3,6,4,2,8,6,2,4,2,3,4,2,1,3,7,2,1,1,2,1,58,1960,1,4,12,0,0,0,1,48,7,2,1.2068704031837025,0.302091437
ESS9e01_1,9,1.1,873,AT,75,4,45,6,7,7,2,3,3,3,3,7,7,7,5,5,5,5,1,6,8,8,5,7,6,6,7,2,2,2,7,5,5,9,6,4,4,2,1,1,3,1,5,4,2,1,1,2,1,73,1945,1,3,18,0,0,0,NA,NA,NA,1,1.4204838456190858,0.302091437
ESS9e01_1,9,1.1,908,AT,35,1,NA,3,6,5,2,2,2,3,2,4,6,7,5,5,3,3,1,5,6,6,7,7,7,6,6,2,3,3,6,3,2,6,4,2,3,2,3,2,3,1,6,5,2,1,1,1,2,62,1956,4,1,12,0,0,0,1,35,3,2,0.5935737685448467,0.302091437
ESS9e01_1,9,1.1,918,AT,60,3,NA,5,7,2,3,1,3,3,3,1,5,8,1,1,0,0,1,2,9,7,7,5,2,5,3,4,4,3,2,0,0,10,6,5,4,2,1,2,3,1,5,5,2,1,1,2,1,50,1968,4,5,14,1,0,0,1,48,9,1,1.1167735821138745,0.302091437
ESS9e01_1,9,1.1,964,AT,60,1,NA,4,7,2,1,2,2,2,2,5,7,8,5,5,5,7,1,5,9,9,7,8,6,7,7,2,2,3,8,6,5,4,6,4,5,2,1,3,3,1,10,3,2,1,1,2,2,73,1945,1,4,16,0,0,0,1,8,4,1,0.8761643044026978,0.302091437
ESS9e01_1,9,1.1,971,AT,120,1,NA,5,8,7,2,3,2,3,3,5,8,8,5,5,5,5,1,5,8,7,2,5,8,8,3,1,1,1,7,7,5,8,6,4,2,2,2,3,2,2,2,7,2,1,1,1,2,80,1938,5,3,12,0,0,0,1,30,2,2,0.6249844254622651,0.302091437
ESS9e01_1,9,1.1,972,AT,15,4,30,3,5,6,2,3,3,3,3,9,9,7,6,6,9,9,1,1,6,6,8,8,10,8,4,2,2,2,6,5,5,6,7,4,5,2,2,2,3,1,6,4,2,1,2,1,2,41,1977,6,1,12,1,0,0,1,38,NA,2,0.5928669725801059,0.302091437
ESS9e01_1,9,1.1,990,AT,10,5,150,2,4,3,3,3,2,3,2,5,5,6,4,4,3,5,2,5,7,6,4,5,6,7,4,2,2,2,5,4,4,7,6,4,3,2,2,1,3,1,6,5,2,1,1,4,2,39,1979,1,3,13,1,0,0,1,35,8,1,1.1525276444404793,0.302091437
ESS9e01_1,9,1.1,998,AT,15,5,120,8,6,5,3,3,2,2,1,7,7,7,5,5,5,4,1,4,9,8,6,8,9,9,5,3,3,3,8,6,4,8,6,4,3,2,2,2,3,1,5,5,2,1,2,5,2,38,1981,6,1,8,1,0,0,1,40,9,2,2.4999377018490603,0.302091437
ESS9e01_1,9,1.1,1042,AT,0,5,60,8,7,7,4,2,1,2,1,6,8,8,5,5,3,0,2,6,9,7,5,8,7,8,3,2,3,3,6,4,5,9,4,2,3,2,2,1,3,1,6,7,2,1,1,2,2,50,1968,1,4,12,1,0,0,1,35,6,1,0.9933992937989825,0.302091437
ESS9e01_1,9,1.1,1045,AT,25,5,300,8,8,7,1,4,4,4,5,9,9,7,7,7,8,8,1,4,9,7,8,8,7,7,10,1,1,1,8,8,8,9,5,6,4,2,1,1,3,1,8,5,2,1,1,4,1,47,1971,1,3,16,1,0,0,2,60,9,1,1.7523286088053955,0.302091437
ESS9e01_1,9,1.1,1068,AT,30,2,NA,4,2,1,3,3,4,3,2,3,2,4,2,1,1,1,2,7,3,3,4,3,2,3,3,3,3,3,3,5,6,3,7,6,2,2,2,3,3,1,6,3,1,2,2,2,1,60,1958,1,1,9,1,0,0,1,50,2,3,1.1136137883891508,0.302091437
ESS9e01_1,9,1.1,1086,AT,15,5,240,5,5,5,2,4,4,4,3,10,10,10,NA,NA,6,6,2,0,1,7,8,8,8,9,7,1,1,1,7,6,6,9,4,3,3,2,2,2,3,1,2,6,2,2,2,3,2,39,1980,1,1,18,1,0,0,1,38,9,1,1.0723196857828847,0.302091437
ESS9e01_1,9,1.1,1098,AT,10,5,510,7,9,8,2,2,1,3,1,9,10,10,7,5,8,9,1,NA,9,8,10,9,9,10,2,3,4,4,4,4,3,9,4,3,2,2,2,2,3,1,6,5,2,1,1,3,2,31,1987,1,4,12,1,0,0,1,42,8,2,0.8539413707591448,0.302091437
ESS9e01_1,9,1.1,1120,AT,60,1,NA,10,10,10,2,2,1,1,1,8,8,8,8,8,8,8,1,4,10,8,4,1,3,10,0,3,3,3,2,2,5,10,6,4,5,2,1,2,2,1,0,6,2,1,1,1,1,71,1947,6,3,12,0,0,0,1,50,5,1,0.6362002698545278,0.302091437
ESS9e01_1,9,1.1,1152,AT,60,3,NA,8,8,8,3,2,3,2,2,4,10,8,4,6,0,2,1,4,7,7,2,9,8,9,3,2,2,2,7,6,6,9,5,5,2,2,1,2,3,1,1,6,1,1,2,1,1,50,1968,6,2,16,1,0,0,1,39,3,3,0.624984425462265,0.302091437
ESS9e01_1,9,1.1,1153,AT,45,3,NA,3,3,3,4,2,3,2,2,6,6,6,0,6,6,6,1,10,8,7,6,7,8,8,7,4,4,3,4,4,4,7,2,NA,1,2,1,1,3,1,8,4,2,1,1,4,2,39,1979,1,4,12,1,0,0,1,39,NA,2,0.8202558821021791,0.302091437
ESS9e01_1,9,1.1,1212,AT,30,1,NA,7,NA,7,3,3,1,3,1,5,5,7,6,5,NA,5,1,5,6,6,5,7,7,8,NA,2,3,4,NA,2,2,6,5,1,3,2,1,3,3,1,8,5,2,1,1,1,2,76,1942,4,4,8,0,0,0,1,60,1,2,0.42615780551245125,0.302091437
ESS9e01_1,9,1.1,1227,AT,30,5,240,5,7,6,3,3,1,2,1,5,5,7,4,4,5,5,NA,5,8,8,4,4,7,7,5,2,2,2,5,5,NA,9,5,4,2,2,2,2,2,2,0,6,2,1,1,4,1,22,1996,6,1,12,1,0,0,1,50,3,2,1.2499688509245301,0.302091437
ESS9e01_1,9,1.1,1229,AT,120,5,240,4,5,5,2,3,2,3,2,6,5,3,3,3,6,4,1,1,8,6,0,2,3,5,7,1,1,1,6,7,6,7,6,4,3,2,2,1,3,2,1,7,2,1,1,1,2,30,1988,6,1,19,1,0,0,1,30,3,1,0.6061252962493864,0.302091437
ESS9e01_1,9,1.1,1238,AT,NA,5,NA,8,10,7,1,3,3,3,4,6,8,8,5,5,5,7,1,5,10,7,5,3,8,8,5,1,1,NA,8,10,7,8,6,NA,3,2,1,1,3,1,5,NA,2,1,1,2,2,46,1972,1,4,16,1,0,0,1,8,NA,1,0.8523156110249026,0.302091437
ESS9e01_1,9,1.1,1244,AT,10,5,60,6,3,3,3,1,2,1,1,1,5,5,0,0,0,0,1,NA,8,7,1,NA,8,4,NA,1,4,4,1,1,1,8,2,2,2,2,3,1,3,1,3,7,2,1,1,4,2,50,1968,1,4,9,1,0,0,1,25,NA,2,0.8523156110249026,0.302091437
ESS9e01_1,9,1.1,1266,AT,0,5,30,5,8,4,4,1,1,1,2,5,8,8,4,4,6,4,1,NA,10,10,NA,NA,8,8,NA,4,4,3,3,4,4,10,6,6,3,2,4,1,3,1,8,5,2,1,1,5,2,46,1972,1,4,9,0,0,0,1,38,10,1,2.030314545620738,0.302091437
ESS9e01_1,9,1.1,1283,AT,10,5,90,3,3,3,4,1,1,1,3,3,5,7,4,3,3,4,1,5,7,9,8,8,10,6,6,4,4,4,5,4,3,10,3,4,2,2,1,1,3,1,5,6,2,1,1,4,2,40,1978,1,4,13,1,0,0,1,30,NA,2,0.959362716950381,0.302091437
ESS9e01_1,9,1.1,1300,AT,120,4,90,4,5,2,1,4,4,5,5,4,1,1,2,2,2,1,1,1,7,4,3,6,9,9,3,2,2,2,2,4,5,7,6,2,4,2,1,3,3,1,6,6,2,1,1,4,2,48,1970,1,3,12,1,0,0,1,30,6,2,1.4876365345869762,0.302091437
ESS9e01_1,9,1.1,1307,AT,75,5,135,5,6,6,2,3,2,3,2,5,1,3,3,3,1,1,1,6,8,7,7,6,4,7,2,4,4,4,2,1,1,7,4,3,3,2,2,2,3,1,6,4,2,1,1,2,1,60,1958,1,3,12,1,0,0,2,55,NA,1,1.4204838456190858,0.302091437
ESS9e01_1,9,1.1,1324,AT,10,2,NA,7,6,5,3,3,2,2,3,8,9,10,7,7,7,NA,2,5,6,6,7,6,6,6,4,3,3,3,NA,4,NA,7,6,2,2,2,2,3,2,NA,5,NA,2,1,1,1,2,73,1945,5,4,9,0,0,0,1,NA,NA,3,0.5583867910569372,0.302091437
ESS9e01_1,9,1.1,1330,AT,60,5,120,6,8,7,2,3,3,3,3,9,9,10,5,4,7,9,1,5,8,7,7,8,7,6,7,2,2,3,7,7,5,9,4,4,3,2,2,2,2,2,4,6,2,1,1,3,2,54,1965,4,1,11,1,0,0,1,40,5,2,1.608479480737903,0.302091437
ESS9e01_1,9,1.1,1341,AT,5,5,210,4,6,4,3,2,2,3,2,4,3,6,3,5,4,8,1,4,7,7,3,7,4,4,6,2,2,2,7,4,6,7,5,2,1,2,2,2,3,2,2,5,2,1,1,2,1,25,1993,6,4,13,1,0,0,1,30,6,2,1.015157272810369,0.302091437
ESS9e01_1,9,1.1,1356,AT,60,1,NA,9,9,9,2,3,1,3,1,10,10,10,7,7,8,7,1,7,8,7,9,9,9,9,4,3,4,4,2,2,3,9,5,3,3,2,1,3,2,1,9,3,2,1,1,2,2,78,1940,1,4,8,0,0,0,NA,NA,2,2,1.0627610360481898,0.302091437
ESS9e01_1,9,1.1,1365,AT,40,5,120,8,7,7,2,2,3,3,3,10,8,8,7,8,9,8,1,5,8,8,3,9,7,6,10,1,2,NA,8,8,7,9,5,3,2,2,2,1,3,1,8,4,2,1,1,2,2,57,1961,5,4,9,1,0,0,1,20,NA,2,0.9776800316837347,0.302091437
ESS9e01_1,9,1.1,1366,AT,30,5,120,7,6,7,2,3,4,3,4,7,9,9,4,4,7,9,1,5,7,6,3,4,6,7,3,1,1,1,8,6,7,7,5,4,3,2,4,2,3,1,8,5,2,1,1,1,2,41,1977,6,1,21,1,0,0,1,55,10,1,0.5735685518154077,0.302091437
ESS9e01_1,9,1.1,1368,AT,30,3,NA,7,6,7,2,2,3,1,3,9,8,8,5,5,7,8,1,5,9,9,7,8,4,6,4,2,2,2,7,8,5,8,4,4,2,1,2,2,2,1,6,6,2,1,1,1,2,76,1942,1,1,11,0,0,0,1,38,NA,2,0.6838818418267116,0.302091437
ESS9e01_1,9,1.1,1383,AT,3,5,240,4,7,10,4,1,1,1,1,NA,5,10,3,3,3,5,2,6,10,5,7,4,4,7,NA,2,3,4,NA,NA,4,10,7,2,3,2,1,1,3,1,2,6,2,1,1,3,1,18,2000,6,4,12,0,0,0,1,25,1,3,0.3770117845967769,0.302091437
ESS9e01_1,9,1.1,1424,AT,60,5,120,6,4,4,2,2,3,3,4,6,7,4,2,2,3,7,1,4,8,7,3,7,7,6,7,1,1,1,6,5,5,7,5,4,2,2,1,2,3,2,1,7,2,1,1,1,2,32,1986,6,4,15,1,0,0,1,40,5,1,0.5014013820064,0.302091437
ESS9e01_1,9,1.1,1465,AT,60,3,NA,7,8,6,2,3,2,2,2,5,8,8,3,3,4,NA,1,7,9,7,7,8,7,7,3,2,3,4,7,5,5,9,6,4,4,2,1,2,3,1,5,5,2,1,1,2,1,78,1940,1,4,13,0,0,0,2,50,NA,2,0.977680031683735,0.302091437
ESS9e01_1,9,1.1,1478,AT,0,5,360,7,6,7,4,1,1,2,1,NA,7,9,NA,NA,NA,NA,2,6,7,NA,5,7,6,4,5,2,2,2,7,7,3,8,5,4,3,2,3,1,3,NA,4,6,2,1,1,2,2,29,1989,6,2,12,1,0,0,1,38,7,2,1.081864029221205,0.302091437
ESS9e01_1,9,1.1,1482,AT,30,4,60,8,7,8,4,1,1,1,1,5,7,10,1,1,5,5,1,4,6,4,5,7,6,5,7,1,2,2,4,4,4,7,7,4,5,2,1,3,2,1,6,4,2,1,1,1,2,54,1964,1,4,12,0,0,0,1,0,1,3,0.5811743124681212,0.302091437
ESS9e01_1,9,1.1,1499,AT,30,4,60,3,6,6,2,2,2,2,2,8,10,9,5,4,6,3,1,3,9,5,1,7,7,4,3,2,3,3,6,5,5,9,4,3,3,2,2,3,3,1,6,6,2,1,1,2,2,70,1948,1,3,11,0,0,0,1,30,4,3,0.9872448126883043,0.302091437
ESS9e01_1,9,1.1,1523,AT,15,5,30,5,8,8,3,2,2,2,3,5,5,8,3,3,3,3,1,5,9,5,5,5,5,5,5,2,2,2,5,5,5,9,6,2,3,2,2,1,3,1,6,4,2,1,1,4,1,57,1961,1,4,13,1,0,0,1,25,9,1,1.855339782005401,0.302091437
ESS9e01_1,9,1.1,1563,AT,60,1,NA,7,5,4,2,1,4,1,4,7,8,10,3,3,8,9,1,3,8,7,3,4,2,8,8,1,2,3,5,8,7,8,6,6,5,2,3,2,3,2,0,7,2,1,2,2,2,78,1940,1,2,12,0,0,0,1,40,7,1,1.0723196857828847,0.302091437
ESS9e01_1,9,1.1,1570,AT,0,5,15,4,10,7,4,2,1,1,1,8,8,8,5,5,5,5,1,3,9,9,4,6,3,9,8,1,1,1,7,7,5,9,2,3,1,2,2,1,3,2,0,7,2,1,1,4,2,42,1976,1,3,20,1,0,0,1,30,NA,1,0.9872448126883043,0.302091437
ESS9e01_1,9,1.1,1596,AT,30,3,NA,4,6,6,3,2,2,2,2,6,7,9,5,4,5,6,1,5,8,6,7,8,6,7,1,2,3,3,6,4,3,7,6,2,3,2,2,3,2,1,7,4,2,1,1,1,2,73,1945,5,4,11,0,0,0,1,50,3,3,0.4680859592811588,0.302091437
ESS9e01_1,9,1.1,1604,AT,10,1,NA,9,8,8,4,NA,NA,NA,NA,10,7,10,5,6,5,5,2,6,10,8,10,NA,10,10,6,2,3,3,5,5,5,10,7,1,4,2,1,2,3,1,10,1,2,2,2,2,2,60,1958,1,4,5,0,0,0,1,25,2,1,1.53947427597355,0.302091437
ESS9e01_1,9,1.1,1657,AT,15,5,30,6,7,3,3,3,1,2,2,4,8,10,4,4,3,6,1,6,9,7,7,8,4,8,1,2,3,4,4,2,2,9,6,3,3,1,2,1,3,1,7,4,2,1,1,4,2,39,1979,4,4,11,1,0,0,1,30,9,2,1.1320601180170853,0.302091437
ESS9e01_1,9,1.1,1704,AT,30,4,90,6,6,7,2,2,2,2,2,6,8,9,6,4,5,6,1,5,8,6,5,8,7,8,1,2,3,3,6,5,4,8,5,2,3,2,2,3,2,1,4,6,2,1,1,2,1,72,1946,1,4,11,0,0,0,1,50,5,3,0.9192437744034372,0.302091437
